DBID,CUIs
DB02932,C0020437
DB02932,C0020456
DB02932,C0020517
DB02932,C0020538
DB02932,C0026826
DB02932,C0002884
DB02932,C0020615
DB02932,C0021053
DB02932,C0021167
DB02932,C0392171
DB02932,C0917801
DB02932,C0206061
DB02932,C0162316
DB02932,C0438215
DB02932,C0041657
DB02932,C0024115
DB02932,C0162429
DB02932,C0025061
DB02932,C0236075
DB02932,C0004936
DB02932,C0948594
DB02932,C0948525
DB02932,C0027497
DB02932,C0007859
DB02932,C0027651
DB02932,C0392525
DB02932,C0031117
DB02932,C1320474
DB02932,C0013604
DB02932,C0085649
DB02932,C0030193
DB02932,C0030794
DB02932,C0042023
DB02932,C0033575
DB02932,C0033774
DB02932,C0267596
DB02932,C0243026
DB02932,C0036974
DB02932,C0037199
DB02932,C0037274
DB02932,C0151717
DB02932,C0037299
DB02932,C2830004
DB02932,C0038990
DB02932,C0234233
DB02932,C0233494
DB02932,C0040046
DB02932,C0518988
DB02932,C0178298
DB02932,C0041969
DB02932,C0042024
DB02932,C0080274
DB02932,C0042075
DB02932,C0042029
DB02932,C0231365
DB02932,C0042109
DB02932,C0043096
DB02932,C0558148
DB02648,C0000729
DB02648,C0000737
DB02648,C0002418
DB02648,C0002871
DB02648,C0042373
DB02648,C0003811
DB02648,C0004093
DB02648,C0004238
DB02648,C0085595
DB02648,C0015967
DB02648,C0006277
DB02648,C0008031
DB02648,C0009806
DB02648,C0232462
DB02648,C0011603
DB02648,C0011991
DB02648,C0522055
DB02648,C0015397
DB02648,C0017152
DB02648,C0017178
DB02648,C0518015
DB02648,C0018681
DB02648,C0020437
DB02648,C0020517
DB02648,C0020538
DB02648,C0026826
DB02648,C0020649
DB02648,C0522063
DB02648,C0917801
DB02648,C0948594
DB02648,C0027497
DB02648,C0085649
DB02648,C0030193
DB02648,C0030252
DB02648,C0033774
DB02648,C0035078
DB02648,C0037199
DB02648,C0039231
DB02648,C0042029
DB02648,C0042571
DB02648,C0043096
DB08472,C0000737
DB08472,C0234458
DB08472,C0156543
DB08472,C0152198
DB08472,C0702166
DB08472,C0000727
DB08472,C0948089
DB08472,C1963951
DB08472,C0233472
DB08472,C0001925
DB08472,C0151474
DB08472,C0002170
DB08472,C0002390
DB08472,C0002418
DB08472,C0002453
DB08472,C0002871
DB08472,C0002792
DB08472,C0340865
DB08472,C0002994
DB08472,C0234022
DB08472,C0233523
DB08472,C0003431
DB08472,C0085632
DB08472,C0038363
DB08472,C0002874
DB08472,C0003578
DB08472,C0003811
DB08472,C0003862
DB08472,C0022408
DB08472,C0233528
DB08472,C0004093
DB08472,C0004096
DB08472,C0004134
DB08472,C0004144
DB08472,C0004238
DB08472,C0004245
DB08472,C1263846
DB08472,C0004509
DB08472,C0575090
DB08472,C0151824
DB08472,C0232849
DB08472,C0852911
DB08472,C0018939
DB08472,C0151539
DB08472,C2732728
DB08472,C0020672
DB08472,C0015967
DB08472,C0151825
DB08472,C0428977
DB08472,C0006145
DB08472,C2225524
DB08472,C0006147
DB08472,C0006277
DB08472,C0006266
DB08472,C0006325
DB08472,C0006444
DB08472,C0151559
DB08472,C0006625
DB08472,C0022650
DB08472,C0006840
DB08472,C0858970
DB08472,C0018802
DB08472,C0876994
DB08472,C0007780
DB08472,C0235198
DB08472,C0038454
DB08472,C0008031
DB08472,C0085593
DB08472,C0008325
DB08472,C0008350
DB08472,C0009421
DB08472,C0009676
DB08472,C0009763
DB08472,C0009806
DB08472,C0520966
DB08472,C0151571
DB08472,C0151574
DB08472,C0232462
DB08472,C0011175
DB08472,C0278080
DB08472,C0278079
DB08472,C0549249
DB08472,C0086132
DB08472,C0011603
DB08472,C0011606
DB08472,C0011849
DB08472,C0011991
DB08472,C0012569
DB08472,C0234215
DB08472,C0012797
DB08472,C0012813
DB08472,C0687133
DB08472,C0013220
DB08472,C0314719
DB08472,C0043352
DB08472,C0013295
DB08472,C0013390
DB08472,C1384606
DB08472,C0013456
DB08472,C0013491
DB08472,C0013595
DB08472,C0151611
DB08472,C0392025
DB08472,C0014335
DB08472,C0014457
DB08472,C1527407
DB08472,C0014591
DB08472,C0014742
DB08472,C0014743
DB08472,C0235146
DB08472,C0015300
